RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
216,CJ Elleby,F-G,21.09,2,4.0,8.3,11.3,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,21.7,0.5,14.8,0.0,0.0,0.5,0.0,59.2,119.0,2020-2021,Portland Trail Blazers
220,Derrick Jones Jr.,F,24.43,2,5.3,10.9,21.5,0.0,0.0,0.0,3.0,0.667,2.0,0.0,0.4,0.4,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,84.0,98.5,2020-2021,Portland Trail Blazers
230,Harry Giles III,F-C,23.25,1,3.6,7.5,50.1,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.1,0.0,0.0,0.0,0.0,3.0,0.0,,,2020-2021,Portland Trail Blazers
59,Keljin Blevins,G,26.38,31,11.3,23.5,16.5,12.8,11.0,0.545,39.0,0.333,72.0,0.292,0.401,0.41,3.1,1.5,7.1,0.6,8.1,0.42,0.03,0.55,5.0,86.7,113.1,2021-2022,Portland Trail Blazers
83,Greg Brown III,F,20.61,48,13.3,27.8,17.2,14.1,65.0,0.677,129.0,0.481,61.0,0.311,0.476,0.515,4.7,2.8,11.6,0.7,8.1,0.52,0.5,0.75,6.3,102.3,104.3,2021-2022,Portland Trail Blazers
133,Robert Covington,F,31.32,48,29.8,62.1,12.4,14.2,36.0,0.833,106.0,0.462,230.0,0.343,0.499,0.519,7.6,5.7,10.5,1.4,6.7,1.54,1.31,1.21,5.3,100.5,108.7,2021-2022,Portland Trail Blazers
139,Jarron Cumberland,G,24.55,3,4.1,8.5,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.7,1.0,13.4,0.3,11.3,0.0,0.0,0.0,5.8,137.6,104.2,2021-2022,Portland Trail Blazers
176,Kris Dunn,G,28.07,14,24.0,50.1,18.3,22.5,18.0,0.944,91.0,0.473,11.0,0.091,0.436,0.482,7.6,3.5,8.0,5.6,35.0,1.64,0.21,2.29,8.8,100.8,106.6,2021-2022,Portland Trail Blazers
183,CJ Elleby,F-G,21.82,58,20.2,42.2,14.8,14.0,84.0,0.714,182.0,0.462,126.0,0.294,0.453,0.491,5.8,3.9,10.6,1.5,10.6,0.6,0.33,0.97,6.4,102.8,110.2,2021-2022,Portland Trail Blazers
190,Drew Eubanks,F-C,25.19,22,29.5,61.6,18.0,13.0,51.0,0.784,197.0,0.675,15.0,0.267,0.656,0.678,14.5,8.5,15.7,1.6,9.1,0.82,0.45,1.59,7.9,128.1,109.6,2021-2022,Portland Trail Blazers
264,Josh Hart,G,27.1,13,32.1,66.8,25.1,13.7,57.0,0.772,100.0,0.61,83.0,0.373,0.587,0.622,19.9,5.4,9.2,4.3,23.1,1.23,0.15,2.54,9.6,116.4,112.0,2021-2022,Portland Trail Blazers
304,Elijah Hughes,G,24.09,22,14.7,30.5,16.2,8.3,6.0,0.667,41.0,0.415,67.0,0.224,0.366,0.375,3.8,1.9,7.0,0.7,7.1,0.45,0.32,0.45,4.7,80.2,110.7,2021-2022,Portland Trail Blazers
340,Keon Johnson,G,20.09,22,25.5,53.2,21.0,14.3,30.0,0.833,131.0,0.366,89.0,0.348,0.43,0.459,9.7,2.7,5.8,2.8,16.7,0.95,0.45,1.77,6.6,93.5,113.0,2021-2022,Portland Trail Blazers
396,Damian Lillard,G,31.74,29,36.4,75.9,29.3,11.6,181.0,0.878,268.0,0.485,284.0,0.324,0.486,0.55,24.0,4.1,6.2,7.3,34.0,0.59,0.38,2.86,9.8,112.6,119.5,2021-2022,Portland Trail Blazers
397,Nassir Little,F-G,22.16,42,25.9,54.0,15.8,10.1,94.0,0.734,161.0,0.584,154.0,0.331,0.541,0.575,9.8,5.6,11.9,1.3,7.4,0.6,0.86,0.95,6.4,115.5,112.6,2021-2022,Portland Trail Blazers
403,Didi Louzada,G,20.0,7,17.5,36.4,12.7,13.9,2.0,1.0,10.0,0.3,20.0,0.45,0.55,0.567,5.0,2.1,6.7,0.6,4.6,0.29,0.29,0.71,4.2,104.2,111.4,2021-2022,Portland Trail Blazers
431,CJ McCollum,G,30.56,36,35.2,73.3,26.2,9.2,68.0,0.706,376.0,0.476,289.0,0.384,0.52,0.532,20.5,4.3,6.6,4.5,22.4,0.97,0.58,1.94,8.3,107.2,115.9,2021-2022,Portland Trail Blazers
